Date,Tmax,Tmin,Tavg,Depart,PrecipTotal,Heat
7/4/05,87,67,77,5,0.1,0
7/5/05,87,63,75,3,0,0
7/6/05,80,64,72,0,0,0
7/7/05,81,64,73,1,0,0
7/8/05,85,60,73,0,0,0
7/9/05,88,56,72,-1,0,0
7/10/05,91,60,76,3,0,0
7/11/05,89,63,76,3,0,0
7/12/05,85,72,79,6,0.03,0
7/13/05,86,73,80,7,  T,0
7/14/05,87,71,79,6,0,0
7/15/05,87,70,79,5,  T,0
7/16/05,93,68,81,7,0,0
7/17/05,97,70,84,10,0,0
7/18/05,91,75,83,9,0,0
7/19/05,92,66,79,5,0,0
7/20/05,92,63,78,4,0.6,0
7/21/05,88,70,79,5,  T,0
7/22/05,86,64,75,1,0,0
7/23/05,83,64,74,0,0.03,0
7/24/05,102,78,90,16,0,0
7/25/05,89,72,81,7,0.49,0
7/26/05,84,66,75,1,0.7,0
7/27/05,74,56,65,-9,0,0
7/28/05,79,53,66,-8,0,0
7/29/05,83,61,72,-2,0,0
7/30/05,86,59,73,-1,0,0
7/31/05,89,69,79,5,0,0
8/1/05,93,69,81,8,0,0
8/2/05,92,65,79,6,0,0
8/3/05,93,74,84,11,  T,0
8/4/05,88,76,82,9,  T,0
8/5/05,84,62,73,0,0,0
8/6/05,84,59,72,-1,0,0
8/7/05,89,58,74,1,0,0
8/8/05,93,63,78,5,0,0
8/9/05,95,65,80,7,0.2,0
8/10/05,90,68,79,6,0.02,0
8/11/05,77,67,72,-1,0.18,0
8/12/05,85,72,79,6,0.46,0
8/13/05,75,68,72,-1,0.01,0
8/14/05,76,61,69,-3,0,0
8/15/05,82,60,71,-1,0,0
8/16/05,84,63,74,2,0,0
8/17/05,84,58,71,-1,0,0
8/18/05,84,69,77,5,0.25,0
8/19/05,88,69,79,8,0,0
8/20/05,86,69,78,7,1.35,0
8/21/05,82,65,74,3,0,0
8/22/05,73,61,67,-4,0,0
8/23/05,73,58,66,-5,0,0
8/24/05,76,57,67,-4,0,0
8/25/05,81,63,72,2,0,0
8/26/05,83,66,75,5,  T,0
8/27/05,84,67,76,6,  T,0
8/28/05,86,64,75,5,0,0
8/29/05,85,62,74,4,0,0
8/30/05,80,61,71,1,0,0
8/31/05,80,62,71,2,0,0
9/1/05,85,66,76,8,0,0
9/2/05,83,61,72,4,0,0
9/3/05,80,58,69,1,0,0
9/4/05,84,56,70,2,0,0
9/5/05,87,58,73,6,0,0
9/6/05,87,60,74,7,0,0
9/7/05,88,67,78,11,0.07,0
9/8/05,80,64,72,6,0,0
9/9/05,87,61,74,8,0,0
9/10/05,92,67,80,14,0,0
9/11/05,90,69,80,15,0,0
9/12/05,90,68,79,14,0,0
9/13/05,94,71,83,18,0.01,0
9/14/05,76,57,67,3,0.16,0
9/15/05,70,54,62,-2,0.34,3
9/16/05,70,54,62,-2,0.01,3
9/17/05,77,52,65,1,0,0
9/18/05,81,54,68,4,0,0
9/19/05,84,65,75,12,0.5,0
9/20/05,83,55,69,7,0,0
9/21/05,87,53,70,8,0,0
9/22/05,87,63,75,13,0.71,0
9/23/05,67,62,65,4,0,0
9/24/05,71,63,67,6,0.13,0
9/25/05,75,67,71,10,0.12,0
9/26/05,69,51,60,0,0.02,5
9/27/05,74,47,61,1,0,4
9/28/05,73,50,62,3,0.59,3
9/29/05,62,43,53,-6,0,12
9/30/05,71,44,58,-1,0,7
10/1/05,79,51,65,7,0,0
10/2/05,84,54,69,11,0.94,0
10/3/05,85,70,78,21,0,0
10/4/05,87,71,79,22,0,0
10/5/05,84,69,77,20,0,0
10/6/05,69,47,M,M,0,M
10/7/05,54,43,49,-7,  T,16
10/8/05,53,43,48,-8,0,17
10/9/05,59,46,53,-2,0,12
10/10/05,63,44,54,-1,0,11
10/11/05,60,55,58,4,  T,7
10/12/05,63,55,59,5,  T,6
10/13/05,72,49,61,8,  T,4
10/14/05,76,48,62,9,0,3
10/15/05,67,48,58,5,0,7
10/16/05,63,41,52,0,0,13
10/17/05,75,41,58,6,0.05,7
10/18/05,73,43,58,7,0,7
10/19/05,64,47,56,5,0,9
10/20/05,56,45,51,1,0,14
10/21/05,58,47,53,3,0,12
10/22/05,54,38,46,-4,0.08,19
10/23/05,48,32,40,-9,0.18,25
10/24/05,51,40,46,-3,0.01,19
10/25/05,51,38,45,-3,0.04,20
10/26/05,52,35,44,-4,0,21
10/27/05,54,34,44,-4,  T,21
10/28/05,57,31,44,-3,0,21
10/29/05,61,28,45,-2,0,20
10/30/05,65,43,54,8,0,11
10/31/05,57,50,54,8,0.09,11
11/1/05,56,39,48,3,  T,17
11/2/05,66,38,52,7,0,13
11/3/05,70,53,62,17,0,3
11/4/05,70,49,60,16,  T,5
11/5/05,62,46,54,10,0.3,11
11/6/05,61,40,51,8,0.46,14
11/7/05,62,36,49,6,0,16
11/8/05,62,47,55,13,0.08,10
11/9/05,66,41,54,12,0,11
11/10/05,48,29,39,-3,0,26
11/11/05,60,34,47,6,0,18
11/12/05,65,43,54,13,0.31,11
11/13/05,61,36,49,9,  T,16
11/14/05,49,28,39,-1,0.1,26
11/15/05,55,37,46,6,0.12,19
11/16/05,37,21,29,-10,  T,36
11/17/05,28,15,22,-17,0,43
11/18/05,38,21,30,-8,0,35
11/19/05,53,32,43,5,0,22
11/20/05,45,32,39,2,0,26
11/21/05,49,35,42,5,0,23
11/22/05,39,24,32,-5,0,33
11/23/05,44,30,37,1,0.06,28
11/24/05,41,16,29,-7,  T,36
11/25/05,27,13,20,-15,0.06,45
11/26/05,46,18,32,-3,0,33
11/27/05,55,40,48,14,0.13,17
11/28/05,61,39,50,16,0.65,15
11/29/05,39,26,33,-1,0.01,32
11/30/05,27,20,24,-9,  T,41
12/1/05,29,20,25,-8,0.01,40
12/2/05,24,13,19,-13,  T,46
12/3/05,30,20,25,-7,0.04,40
12/4/05,28,12,20,-11,0.02,45
12/5/05,17,4,11,-20,0,54
12/6/05,17,4,11,-20,  T,54
12/7/05,15,0,8,-22,0,57
12/8/05,28,3,16,-14,0.4,49
12/9/05,28,11,20,-10,  T,45
12/10/05,32,12,22,-7,0.09,43
12/11/05,33,7,20,-9,0.01,45
12/12/05,28,9,19,-9,  T,46
12/13/05,28,23,26,-2,  T,39
12/14/05,35,28,32,4,0.06,33
12/15/05,35,24,30,3,0.02,35
12/16/05,24,18,21,-6,0.02,44
12/17/05,20,11,16,-11,0,49
12/18/05,15,4,10,-16,0,55
12/19/05,11,-1,5,-21,0,60
12/20/05,21,5,13,-13,0,52
12/21/05,20,3,12,-14,0,53
12/22/05,38,6,22,-3,0,43
12/23/05,44,37,41,16,0,24
12/24/05,39,34,37,12,0.28,28
12/25/05,36,33,35,10,0.03,30
12/26/05,37,32,35,11,  T,30
12/27/05,47,32,40,16,  T,25
12/28/05,39,34,37,13,0.01,28
12/29/05,37,32,35,11,  T,30
12/30/05,38,33,36,13,0.33,29
12/31/05,37,32,35,12,  T,30
1/1/06,45,26,36,13,0.03,29
1/2/06,42,40,41,18,0.37,24
1/3/06,42,39,41,18,  T,24
1/4/06,43,36,40,18,0.02,25
1/5/06,37,31,34,12,  T,31
1/6/06,31,28,30,8,0,35
1/7/06,39,28,34,12,0,31
1/8/06,45,32,39,17,0,26
1/9/06,38,33,36,14,0,29
1/10/06,38,20,29,7,0.05,36
1/11/06,42,37,40,18,0.05,25
1/12/06,57,38,48,26,0,17
1/13/06,49,32,41,20,0.67,24
1/14/06,37,28,33,12,0,32
1/15/06,45,27,36,15,0,29
1/16/06,47,30,39,18,0,26
1/17/06,43,27,35,14,  T,30
1/18/06,35,20,28,7,  T,37
1/19/06,55,27,41,19,0,24
1/20/06,46,32,39,17,0.78,26
1/21/06,34,18,26,4,0.04,39
1/22/06,36,24,30,8,0,35
1/23/06,30,23,27,5,  T,38
1/24/06,40,29,35,13,  T,30
1/25/06,35,25,30,8,0,35
1/26/06,43,17,30,8,0,35
1/27/06,51,35,43,21,0,22
1/28/06,49,36,43,21,0.48,22
1/29/06,50,39,45,22,0.28,20
1/30/06,39,32,36,13,0.01,29
1/31/06,38,30,34,11,0,31
2/1/06,48,31,40,17,0,25
2/2/06,43,27,35,12,0,30
2/3/06,44,32,38,14,0.49,27
2/4/06,32,25,29,5,0.02,36
2/5/06,34,21,28,4,  T,37
2/6/06,36,20,28,4,0,37
2/7/06,33,20,27,2,0,38
2/8/06,30,21,26,1,0.02,39
2/9/06,32,16,24,-1,0.02,41
2/10/06,37,25,31,5,  T,34
2/11/06,35,26,31,5,0.06,34
2/12/06,30,23,27,1,  T,38
2/13/06,39,16,28,2,  T,37
2/14/06,56,24,40,13,0,25
2/15/06,42,32,37,10,0.1,28
2/16/06,37,22,30,3,1.09,35
2/17/06,24,3,14,-14,  T,51
2/18/06,8,-7,1,-27,0,64
2/19/06,20,1,11,-17,0,54
2/20/06,33,12,23,-6,0,42
2/21/06,37,19,28,-1,0,37
2/22/06,46,24,35,6,0,30
2/23/06,43,23,33,3,0,32
2/24/06,47,15,31,1,0,34
2/25/06,41,21,31,1,0,34
2/26/06,34,16,25,-6,0,40
2/27/06,38,27,33,2,0,32
2/28/06,38,26,32,1,0,33
3/1/06,41,31,36,4,  T,29
3/2/06,37,25,31,-1,  T,34
3/3/06,36,20,28,-5,0,37
3/4/06,41,21,31,-2,0,34
3/5/06,34,26,30,-3,0.3,35
3/6/06,36,28,32,-2,0.02,33
3/7/06,44,20,32,-2,0.15,33
3/8/06,53,39,46,12,0.38,19
3/9/06,58,38,48,13,0.72,17
3/10/06,54,38,46,11,  T,19
3/11/06,67,43,55,19,0.06,10
3/12/06,56,40,48,12,0.14,17
3/13/06,63,30,47,11,0.47,18
3/14/06,42,27,35,-2,  T,30
3/15/06,43,25,34,-3,0,31
3/16/06,38,32,35,-2,0.06,30
3/17/06,39,25,32,-6,0,33
3/18/06,41,25,33,-5,0,32
3/19/06,47,26,37,-1,0,28
3/20/06,37,25,31,-8,0,34
3/21/06,33,26,30,-9,0,35
3/22/06,49,25,37,-2,0,28
3/23/06,42,31,37,-3,0.05,28
3/24/06,40,31,36,-4,0.07,29
3/25/06,45,28,37,-4,  T,28
3/26/06,48,27,38,-3,0,27
3/27/06,50,25,38,-3,0.12,27
3/28/06,45,37,41,-1,0.07,24
3/29/06,51,34,43,1,0,22
3/30/06,70,35,53,11,  T,12
3/31/06,68,45,57,14,0.09,8
4/1/06,48,40,44,1,0,21
4/2/06,60,39,50,7,0.68,15
4/3/06,54,39,47,4,0.45,18
4/4/06,56,36,46,3,0,19
4/5/06,58,33,46,2,  T,19
4/6/06,58,39,49,5,  T,16
4/7/06,55,33,44,-1,0.02,21
4/8/06,43,26,35,-10,0,30
4/9/06,56,27,42,-3,0,23
4/10/06,71,34,53,7,0,12
4/11/06,75,48,62,16,0.01,3
4/12/06,76,58,67,21,0.02,0
4/13/06,80,52,66,19,0.05,0
4/14/06,81,63,72,25,0.01,0
4/15/06,67,49,58,11,  T,7
4/16/06,62,47,55,7,0.88,10
4/17/06,56,42,49,1,0.02,16
4/18/06,66,45,56,7,0,9
4/19/06,74,52,63,14,  T,2
4/20/06,75,53,64,15,0.09,1
4/21/06,71,44,58,8,0,7
4/22/06,68,47,58,7,0.04,7
4/23/06,72,41,57,6,0,8
4/24/06,73,39,56,5,0,9
4/25/06,46,32,39,-13,0.08,26
4/26/06,64,27,46,-6,0,19
4/27/06,71,38,55,3,0,10
4/28/06,68,37,53,0,0,12
4/29/06,61,51,56,3,0.31,9
4/30/06,59,52,56,3,0.94,9
5/1/06,59,54,57,4,0.27,8
5/2/06,72,52,62,8,0.1,3
5/3/06,73,50,62,8,  T,3
5/4/06,68,54,61,7,0,4
5/5/06,58,47,53,-2,0,12
5/6/06,58,40,49,-6,0,16
5/7/06,71,37,54,-1,0,11
5/8/06,73,47,60,4,0,5
5/9/06,71,54,63,7,  T,2
5/10/06,74,54,64,8,0.11,1
5/11/06,59,38,49,-8,0.7,16
5/12/06,47,36,42,-15,0.14,23
5/13/06,50,42,46,-12,0.07,19
5/14/06,56,42,49,-9,0.11,16
5/15/06,62,49,56,-2,0.16,9
5/16/06,65,48,57,-2,0.01,8
5/17/06,73,45,59,0,0.16,6
5/18/06,63,45,54,-6,0.03,11
5/19/06,64,43,54,-6,0,11
5/20/06,74,38,56,-5,  T,9
5/21/06,61,40,51,-10,  T,14
5/22/06,62,36,49,-12,0,16
5/23/06,75,38,57,-4,0,8
5/24/06,80,49,65,3,0.38,0
5/25/06,75,64,70,8,0.03,0
5/26/06,83,60,72,10,0,0
5/27/06,87,59,73,11,0,0
5/28/06,92,74,83,20,0,0
5/29/06,91,68,80,16,0.14,0
5/30/06,89,67,78,14,1.24,0
5/31/06,76,65,71,7,0,0
6/1/06,79,60,70,6,0,0
6/2/06,80,56,68,4,  T,0
6/3/06,74,54,64,0,0,1
6/4/06,77,52,65,1,0,0
6/5/06,81,48,65,0,0,0
6/6/06,82,53,68,2,  T,0
6/7/06,83,60,72,6,0,0
6/8/06,85,60,73,7,0,0
6/9/06,68,54,61,-5,0.08,4
6/10/06,63,50,57,-10,1.58,8
6/11/06,64,52,58,-9,  T,7
6/12/06,69,50,60,-8,0,5
6/13/06,76,49,63,-5,0,2
6/14/06,79,52,66,-2,0.04,0
6/15/06,86,62,74,6,  T,0
6/16/06,90,72,81,12,0,0
6/17/06,92,72,82,13,  T,0
6/18/06,77,67,72,2,0.03,0
6/19/06,87,63,75,5,0,0
6/20/06,79,63,71,1,  T,0
6/21/06,87,69,78,8,0.08,0
6/22/06,83,64,74,4,0.13,0
6/23/06,73,54,64,-6,0,1
6/24/06,82,51,67,-4,0,0
6/25/06,73,61,67,-4,0.86,0
6/26/06,71,61,66,-5,0.8,0
6/27/06,81,60,71,0,0,0
6/28/06,77,56,67,-4,0.45,0
6/29/06,80,56,68,-3,0,0
6/30/06,85,53,69,-3,0,0
7/1/06,90,65,78,6,0,0
7/2/06,84,69,77,5,0.01,0
7/3/06,83,67,75,3,0.55,0
7/4/06,78,62,70,-2,0,0
7/5/06,77,60,69,-3,0,0
7/6/06,78,55,67,-5,0,0
7/7/06,82,54,68,-4,0,0
7/8/06,84,62,73,0,0.01,0
7/9/06,88,71,80,7,  T,0
7/10/06,73,65,69,-4,0,0
7/11/06,77,67,72,-1,0.28,0
7/12/06,81,68,75,2,0,0
7/13/06,87,66,77,4,0,0
7/14/06,89,72,81,8,0.11,0
7/15/06,97,74,86,12,0,0
7/16/06,94,74,84,10,0,0
7/17/06,95,72,84,10,0.45,0
7/18/06,83,66,75,1,0,0
7/19/06,88,65,77,3,0.01,0
7/20/06,80,70,75,1,2.05,0
7/21/06,77,64,71,-3,0.04,0
7/22/06,83,62,73,-1,0.02,0
7/23/06,82,60,71,-3,0,0
7/24/06,88,66,77,3,0.01,0
7/25/06,90,73,82,8,0,0
7/26/06,86,72,79,5,0.06,0
7/27/06,88,69,79,5,  T,0
7/28/06,93,68,81,7,0,0
7/29/06,94,74,84,10,0,0
7/30/06,90,77,84,10,0.1,0
7/31/06,99,76,88,14,0,0
8/1/06,99,80,90,17,0,0
8/2/06,97,77,87,14,0.26,0
8/3/06,83,67,75,2,0.45,0
8/4/06,89,65,77,4,0,0
8/5/06,86,63,75,2,0,0
8/6/06,84,69,77,4,0.01,0
8/7/06,86,71,79,6,0,0
8/8/06,78,69,74,1,0,0
8/9/06,86,68,77,4,0,0
8/10/06,79,74,77,4,  T,0
8/11/06,77,68,73,0,0,0
8/12/06,80,59,70,-3,0,0
8/13/06,84,58,71,-2,  T,0
8/14/06,85,64,75,3,  T,0
8/15/06,86,61,74,2,0,0
8/16/06,85,59,72,0,0,0
8/17/06,86,59,73,1,  T,0
8/18/06,84,72,78,6,0.85,0
8/19/06,81,66,74,3,0.01,0
8/20/06,78,59,69,-2,0,0
8/21/06,84,55,70,-1,0,0
8/22/06,87,64,76,5,0,0
8/23/06,89,61,75,4,0,0
8/24/06,84,67,76,5,0.62,0
8/25/06,84,66,75,5,0,0
8/26/06,79,69,74,4,  T,0
8/27/06,79,71,75,5,  T,0
8/28/06,73,64,69,-1,0.6,0
8/29/06,71,63,67,-3,0.15,0
8/30/06,76,64,70,0,  T,0
8/31/06,75,62,69,0,0,0
9/1/06,75,65,70,2,0,0
9/2/06,77,57,67,-1,0,0
9/3/06,78,53,66,-2,0.2,0
9/4/06,71,60,66,-2,0.38,0
9/5/06,78,59,69,2,0,0
9/6/06,82,57,70,3,0,0
9/7/06,82,57,70,3,0,0
9/8/06,83,60,72,6,0,0
9/9/06,70,63,67,1,0,0
9/10/06,64,60,62,-4,0.37,3
9/11/06,67,59,63,-2,1.6,2
9/12/06,72,63,68,3,0.18,0
9/13/06,65,60,63,-2,0.2,2
9/14/06,73,57,65,1,0,0
9/15/06,78,53,66,2,0,0
9/16/06,79,58,69,5,0,0
9/17/06,82,59,71,7,0.3,0
9/18/06,71,51,61,-3,  T,4
9/19/06,55,47,51,-12,0.02,14
9/20/06,62,42,52,-10,0,13
9/21/06,68,40,54,-8,  T,11
9/22/06,71,57,64,2,1.73,1
9/23/06,69,56,63,2,0.68,2
9/24/06,66,49,58,-3,  T,7
9/25/06,72,47,60,-1,0,5
9/26/06,71,47,59,-1,0,6
9/27/06,67,50,59,-1,  T,6
9/28/06,59,40,50,-9,0,15
9/29/06,59,37,48,-11,0.01,17
9/30/06,68,48,58,-1,0.18,7
10/1/06,74,44,59,1,0.01,6
10/2/06,77,61,69,11,1.39,0
10/3/06,82,55,69,12,0,0
10/4/06,76,55,66,9,0.01,0
10/5/06,60,46,53,-4,0,12
10/6/06,58,42,50,-6,0,15
10/7/06,67,40,54,-2,0,11
10/8/06,72,43,58,2,0,7
10/9/06,66,47,57,2,0,8
10/10/06,58,52,55,0,0.07,10
10/11/06,54,35,45,-9,0.45,20
10/12/06,39,30,35,-19,0.03,30
10/13/06,50,32,41,-12,0,24
10/14/06,50,32,41,-12,0,24
10/15/06,52,31,42,-11,0.01,23
10/16/06,56,48,52,0,0.5,13
10/17/06,58,50,54,2,0.38,11
10/18/06,63,42,53,2,0.3,12
10/19/06,44,39,42,-9,0,23
10/20/06,53,32,43,-7,  T,22
10/21/06,58,47,53,3,0.28,12
10/22/06,49,34,42,-8,0.08,23
10/23/06,41,33,37,-12,0.01,28
10/24/06,47,30,39,-10,0,26
10/25/06,51,27,39,-9,0,26
10/26/06,46,43,45,-3,0.52,20
10/27/06,45,38,42,-6,  T,23
10/28/06,52,37,45,-2,0,20
10/29/06,54,33,44,-3,0,21
10/30/06,70,38,54,8,  T,11
10/31/06,62,35,49,3,0,16
11/1/06,42,27,35,-10,0,30
11/2/06,34,24,29,-16,0,36
11/3/06,40,21,31,-14,0,34
11/4/06,47,29,38,-6,  T,27
11/5/06,55,32,44,0,0,21
11/6/06,56,44,50,7,0.02,15
11/7/06,54,46,50,7,  T,15
11/8/06,64,46,55,13,0,10
11/9/06,68,47,58,16,0,7
11/10/06,48,37,43,1,1.34,22
11/11/06,41,34,38,-3,0.04,27
11/12/06,46,34,40,-1,0,25
11/13/06,42,34,38,-2,  T,27
11/14/06,44,36,40,0,0.02,25
11/15/06,47,43,45,5,  T,20
11/16/06,43,37,40,1,0,25
11/17/06,40,34,37,-2,0,28
11/18/06,44,30,37,-1,0,28
11/19/06,44,29,37,-1,0.01,28
11/20/06,44,29,37,0,0,28
11/21/06,49,29,39,2,0,26
11/22/06,54,30,42,5,0,23
11/23/06,58,30,44,8,0,21
11/24/06,60,31,46,10,0,19
11/25/06,58,36,47,12,0,18
11/26/06,62,45,54,19,0,11
11/27/06,62,52,57,23,  T,8
11/28/06,61,54,58,24,0.03,7
11/29/06,60,38,49,15,1.73,16
11/30/06,39,26,33,0,0.46,32
12/1/06,33,18,26,-7,1.23,39
12/2/06,30,12,21,-11,0,44
12/3/06,15,8,12,-20,  T,53
12/4/06,26,6,16,-15,0,49
12/5/06,34,7,21,-10,  T,44
12/6/06,35,17,26,-5,  T,39
12/7/06,17,9,13,-17,0,52
12/8/06,21,4,13,-17,0,52
12/9/06,35,20,28,-2,0,37
12/10/06,41,32,37,8,0,28
12/11/06,45,37,41,12,0.05,24
12/12/06,50,38,44,16,0.1,21
12/13/06,45,33,39,11,  T,26
12/14/06,50,35,43,15,0.01,22
12/15/06,44,30,37,10,0,28
12/16/06,55,32,44,17,  T,21
12/17/06,54,41,48,21,  T,17
12/18/06,41,29,35,9,0,30
12/19/06,43,24,34,8,0,31
12/20/06,40,24,32,6,0.21,33
12/21/06,50,38,44,18,0.47,21
12/22/06,54,40,47,22,0.9,18
12/23/06,40,33,37,12,0,28
12/24/06,44,29,37,12,0,28
12/25/06,37,30,34,9,  T,31
